"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE010B01027","532321","ZYDUSLIFE","ZYDUS LIFESCIENCES LIMITED","1206.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE015L07576","958306","2EARCL28","EARCL271028PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE555C01029","532323","SHIVACEM","SHIVA CEMENT LTD","51.83","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE039B01026","532324","CINEVISTA","CINEVISTA LTD","17.36","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE781A01025","532326","INTENTECH","INTENSE TECHNOLOGIES LTD","155.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE002A08534","958311","905RIL28","RIL905171028PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE040A08732","958312","905HDFCB28","HDFCB905161028PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE310B01013","532329","DANLAW","DANLAW TECHNOLOGIES INDIA LTD","1852.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE031B01049","532331","AJANTPHARM","AJANTA PHARMA LTD","2400.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE638B01025","532333","HBPOR","HB PORTFOLIO LTD","76.07","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE640B01021","532334","HBESD","HB ESTATE DEVELOPERS LTD","77.73","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE792B01012","532335","AMBICAAGAR","AMBICA AGARBATHIES  AROMA IND","25.88","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN1520230138","810976","755GJ31","755GUJSDL31","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE453B01029","532339","COMPUSOFT","COMPUCOM SOFTWARE LTD","30.79","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE369B01019","532340","OMNIAX","OMNI AXS SOFTWARE LTD","3.6","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE848A01014","532341","IZMO","IZMO LIMITED","506.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE494B01023","532343","TVSMOTOR","TVS MOTOR COMPANY LTD","2506.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE002B01016","532344","SOFTSOL","SOFTSOL INDIA LTD","314.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE152B01027","532345","ACLGATI","ALLCARGO GATI LIMITED","94.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE754A01055","532348","SUBEXLTD","SUBEX LTD","35.86","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE688A01022","532349","TCI","TRANSPORT CORPORATION OF INDIA","986.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE243B01016","532350","PADMALAYAT","PADMALAYA TELEFILMS LTD","2.97","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE523B01011","532351","AKSHOPTFBR","AKSH OPTIFIBRE LTD","8.99","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE400B01020","532354","VIRGOGLOB","VIRGO GLOBAL LIMITED","9.01","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE448B01029","532355","PICTUREHS","PICTUREHOUSE MEDIA LTD","9.99","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE256C01024","532356","TRIVENI","TRIVENI ENGINEERING  INDUSTRI","409.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE374B01019","532357","MUKTAARTS","MUKTA ARTS LTD","73.81","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE099E01016","532362","NAGPI","NAGPUR POWER  INDUSTRIES LTD","150.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE417B01040","532365","DSSL","DYNACONS SYSTEMS  SOLUTIONS L","1342.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE859A01011","532366","PNBGILTS","PNB GILTS LTD","126.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE614A01028","532369","RAMCOIND","RAMCO INDUSTRIES LTD","247.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE246B01019","532370","RAMCOSYS","RAMCO SYSTEMS LTD","381.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE517B01013","532371","TTML","TATA TELESERVICES MAHARASHTRA","102.35","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE539B01017","532372","VIRINCHI","VIRINCHI LIMITED","32.69","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE434B01029","532373","WEPSOLN","WEP SOLUTIONS LTD","43.86","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE089C01029","532374","STLTECH","STERLITE TECHNOLOGIES LTD","147.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE716B01029","532375","TIPSINDLTD","TIPS INDUSTRIES LTD","619.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE398B01018","532376","MRO-TEK","MROTEK REALTY LIMITED","78.16","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE464B01018","532378","UNIVARTS","UNIVERSAL ARTS LTD","4.66","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE683B01047","532379","FIRSTFIN","FIRST FINTEC LIMITED","9.6","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE893A01036","532380","BABA","BABA ARTS LTD","13.08","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE794B01026","532382","BALAJITELE","BALAJI TELEFILMS LTD","70.73","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE443B01012","532384","TYCHE","TYCHE INDUSTRIES LTD","182.95","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE526B01014","532386","CALSOFT","CALIFORNIA SOFTWARE COLTD","16.9","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE392B01011","532387","PNC","PRITISH NANDY COMMUNICATIONS L","70.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE565A01014","532388","IOB","INDIAN OVERSEAS BANK","67.34","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE586B01026","532390","TAJGVK","TAJGVK HOTELS  RESORTS LTD","334.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE230B01021","532392","CREATIVEYE","CREATIVE EYE LTD","7.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE555B01013","532395","AXISCADES","AXISCADES TECHNOLOGIES LIMITED","571.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE971A01014","532397","KONNDOR","KONNDOR INDUSTRIES LIMITED","10.85","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE240C01028","532398","UMESLTD","USHA MARTIN EDUCATION  SOLUTI","9.51","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE836A01035","532400","BSOFT","BIRLASOFT LIMITED","727.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE718B01017","532402","USGTECH","USG TECH SOLUTIONS LTD","9.43","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE856B01023","532404","7TEC","SAVEN TECHNOLOGIES LTD","55.93","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE005B01027","532406","AVANTEL","AVANTEL LTD","199.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE935B01025","532407","MOSCHIP","MOSCHIP TECHNOLOGIES LIMITED","272.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE933B01012","532408","MEGASOFT","MEGASOFT LTD","67.09","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE134E08JR1","958393","867PFCL28","PFCL867181128PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE330E01023","532410","TRANSCOR","TRANSCORP INTERNATIONAL LTD","43.51","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE345B01019","532413","CEREBRAINT","CEREBRA INTEGRATED TECHNOLOGIE","9.17","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE549K08145","957187","12MFLPER","MFL12PERPETUALPVT","0.0","",,"0.01","2","EQUITY",,"BSE_EQ"
"BSE_EQ|INE747B01016","532416","NEXTMEDIA","NEXT MEDIAWORKS LTD","7.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE178C01020","532419","SMARTLINK","SMARTLINK HOLDINGS LIMITED","292.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE040A08AB1","958406","9HDFCB28A","HDFCB9291128PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE102D01028","532424","GODREJCP","GODREJ CONSUMER PRODUCTS LTD","1467.3","",,"0.05","1","EQUITY",,"BSE_EQ"
